Empresa;Tipo de Lead;Contato;Atuação;Instagram;Estado;Cidade;Telefone;Observação
ARA FOGOS;Qualificar;;Lojista;;PARANÁ;UMUARAMA;(44)  3622.5582;seguindo no Instagram
2 IRMÃOS PIPAS E FOGOS;Qualificar;;Lojista;https://www.facebook.com/share/1FRWuyWeq3/?mibextid=wwXIfr;PARANÁ;CURITIBA;(41) 3151 6993;
ABC COMÉRCIO DE FOGOS E PESCA LTDA;Em conversão;;Lojista;;PARANÁ;APUCARANA;(43) 99976 7689;seguindo no Instagram
ALEGRIA PIPAS E FOGOS;Qualificar;;Lojista;;PARANÁ;PINHAIS;(41) 99800 7188;seguindo no Instagram
ALFA PIPAS E FOGOS DE ARTIFÍCIO;Qualificar;;Lojista;;PARANÁ;FAZENDA RIO GRANDE;(41) 99292 0439;Enviado - Tabela de 30% - 10% desconto · seguindo no Instagram
ART FESTA COMERCIO  DE FOGOS LTDA;Qualificado;;Lojista;https://www.instagram.com/artfesta1305?igsh=a3o2cXV3bHV6MzNt;PARÁ;BELEM;(91) 3226 7514;seguindo no Instagram
ART FOGOS PIPAS;Qualificar;Fabiano;Lojista;;SÃO PAULO;ATIBAIA;(11) 94741 6035;Visitado em 2024. Alexandre está prospectando · seguindo no Instagram
ART FOGOS PIROTECNIA LTDA ME;Qualificar;;Lojista;;ESPIRITO SANTO;SERRA;(27) 99725-0607;
ART SHOW FOGOS E FESTAS;Qualificar;;Shows - Lojista;;SANTA CATARINA;CHAPECO;(49) 98427‑2415‬;
ATACADÃO DOS FOGOS;Em conversão;;Lojista;https://www.instagram.com/atacadao_dos_fogos_salvador?igsh=MWxqdDV1N2w4dGc3Zw==;BAHIA;SALVADOR;(71) 98160 0963;Visitado em Fevereiro 26 · seguindo no Instagram
BACACHIERI FOGOS;Qualificar;;Lojista;;PARANÁ;CURITIBA;(41) 3256 2585;Visitado. Sem potencial de compras, mais focado em artigos religiosos · seguindo no Instagram
Balo Ema Fogos e Shows Pirotecnicos;Qualificar;;Lojista;;SÃO PAULO;VILA SANTA VIGINIA;(11) 94000-4215;
BANCA LOKA FOGOS E PIPAS;Qualificar;;Lojista;;PARANÁ;COLOMBO;(41) 99536 9484;seguindo no Instagram
